"country"	"year"	"fd.co2"
"AUS"	1995	14.965
"AUT"	1995	10.601
"BEL"	1995	11.791
"CAN"	1995	14.357
"CHL"	1995	2.761
"CZE"	1995	11.333
"DNK"	1995	13.143
"EST"	1995	8.522
"FIN"	1995	13.004
"FRA"	1995	7.84
"DEU"	1995	12.581
"GRC"	1995	7.837
"HUN"	1995	5.245
"ISL"	1995	8.843
"IRL"	1995	10.083
"ISR"	1995	11.116
"ITA"	1995	8.295
"JPN"	1995	11.197
"KOR"	1995	8.281
"LUX"	1995	14.403
"MEX"	1995	2.953
"NLD"	1995	11.102
"NZL"	1995	7.445
"NOR"	1995	8.341
"POL"	1995	7.555
"PRT"	1995	5.578
"SVK"	1995	6.456
"SVN"	1995	8.357
"ESP"	1995	6.511
"SWE"	1995	8.424
"CHE"	1995	11.442
"TUR"	1995	2.98
"GBR"	1995	10.152
"USA"	1995	19.721
"ARG"	1995	3.68
"BGR"	1995	3.385
"BRA"	1995	1.565
"BRN"	1995	15.906
"CHN"	1995	2.186
"COL"	1995	1.95
"CRI"	1995	1.916
"CYP"	1995	8.585
"HKG"	1995	13.538
"HRV"	1995	3.724
"IDN"	1995	1.064
"IND"	1995	0.763
"KHM"	1995	0.237
"LTU"	1995	4.321
"LVA"	1995	4.347
"MLT"	1995	6.091
"MYS"	1995	4.201
"PHL"	1995	0.871
"ROU"	1995	4.366
"RUS"	1995	6.975
"SAU"	1995	9.188
"SGP"	1995	13.044
"THA"	1995	2.52
"TUN"	1995	1.829
"TWN"	1995	7.948
"VNM"	1995	0.373
"ZAF"	1995	5.453
"ROW"	1995	1.491
"AUS"	1996	15.563
"AUT"	1996	11.243
"BEL"	1996	12.377
"CAN"	1996	14.579
"CHL"	1996	3.215
"CZE"	1996	11.589
"DNK"	1996	14.429
"EST"	1996	9.21
"FIN"	1996	12.629
"FRA"	1996	7.987
"DEU"	1996	12.686
"GRC"	1996	8.007
"HUN"	1996	5.024
"ISL"	1996	9.287
"IRL"	1996	10.495
"ISR"	1996	11.228
"ITA"	1996	8.352
"JPN"	1996	11.15
"KOR"	1996	8.837
"LUX"	1996	14.628
"MEX"	1996	3.048
"NLD"	1996	11.475
"NZL"	1996	7.807
"NOR"	1996	9.429
"POL"	1996	8.122
"PRT"	1996	5.421
"SVK"	1996	7.389
"SVN"	1996	8.305
"ESP"	1996	6.235
"SWE"	1996	9.029
"CHE"	1996	11.305
"TUR"	1996	3.154
"GBR"	1996	10.608
"USA"	1996	20.178
"ARG"	1996	3.866
"BGR"	1996	3.735
"BRA"	1996	1.676
"BRN"	1996	16.895
"CHN"	1996	2.199
"COL"	1996	1.9
"CRI"	1996	1.821
"CYP"	1996	8.319
"HKG"	1996	12.931
"HRV"	1996	3.764
"IDN"	1996	1.134
"IND"	1996	0.784
"KHM"	1996	0.236
"LTU"	1996	4.236
"LVA"	1996	4.285
"MLT"	1996	6.183
"MYS"	1996	4.394
"PHL"	1996	0.927
"ROU"	1996	4.607
"RUS"	1996	7.037
"SAU"	1996	9.339
"SGP"	1996	13.467
"THA"	1996	2.706
"TUN"	1996	1.764
"TWN"	1996	7.816
"VNM"	1996	0.415
"ZAF"	1996	5.472
"ROW"	1996	1.461
"AUS"	1997	15.833
"AUT"	1997	10.615
"BEL"	1997	11.547
"CAN"	1997	15.435
"CHL"	1997	3.466
"CZE"	1997	10.682
"DNK"	1997	12.995
"EST"	1997	9.003
"FIN"	1997	11.944
"FRA"	1997	7.524
"DEU"	1997	12.03
"GRC"	1997	7.908
"HUN"	1997	5.176
"ISL"	1997	8.837
"IRL"	1997	10.512
"ISR"	1997	11.213
"ITA"	1997	8.319
"JPN"	1997	10.852
"KOR"	1997	8.794
"LUX"	1997	14.138
"MEX"	1997	3.233
"NLD"	1997	10.818
"NZL"	1997	8.274
"NOR"	1997	9.306
"POL"	1997	7.92
"PRT"	1997	5.614
"SVK"	1997	7.519
"SVN"	1997	8.34
"ESP"	1997	6.43
"SWE"	1997	8.229
"CHE"	1997	10.953
"TUR"	1997	3.245
"GBR"	1997	10.534
"USA"	1997	20.663
"ARG"	1997	4.211
"BGR"	1997	3.168
"BRA"	1997	1.752
"BRN"	1997	17.937
"CHN"	1997	2.167
"COL"	1997	2.014
"CRI"	1997	1.828
"CYP"	1997	8.014
"HKG"	1997	12.492
"HRV"	1997	4.492
"IDN"	1997	1.178
"IND"	1997	0.814
"KHM"	1997	0.24
"LTU"	1997	4.363
"LVA"	1997	4.459
"MLT"	1997	6.03
"MYS"	1997	4.455
"PHL"	1997	0.986
"ROU"	1997	4.124
"RUS"	1997	6.776
"SAU"	1997	9.34
"SGP"	1997	14.14
"THA"	1997	2.407
"TUN"	1997	1.805
"TWN"	1997	8.499
"VNM"	1997	0.461
"ZAF"	1997	5.758
"ROW"	1997	1.458
"AUS"	1998	16.969
"AUT"	1998	10.645
"BEL"	1998	12.232
"CAN"	1998	15.424
"CHL"	1998	3.578
"CZE"	1998	10.515
"DNK"	1998	13.124
"EST"	1998	9.71
"FIN"	1998	13.349
"FRA"	1998	8.141
"DEU"	1998	12.097
"GRC"	1998	8.291
"HUN"	1998	5.756
"ISL"	1998	10.774
"IRL"	1998	11.374
"ISR"	1998	11.186
"ITA"	1998	8.829
"JPN"	1998	10.346
"KOR"	1998	6.202
"LUX"	1998	15.353
"MEX"	1998	3.465
"NLD"	1998	11.269
"NZL"	1998	7.726
"NOR"	1998	10.281
"POL"	1998	7.586
"PRT"	1998	6.16
"SVK"	1998	6.974
"SVN"	1998	8.951
"ESP"	1998	6.886
"SWE"	1998	8.585
"CHE"	1998	11.78
"TUR"	1998	3.19
"GBR"	1998	11.075
"USA"	1998	20.972
"ARG"	1998	4.458
"BGR"	1998	3.58
"BRA"	1998	1.77
"BRN"	1998	16.023
"CHN"	1998	2.231
"COL"	1998	2.062
"CRI"	1998	2.031
"CYP"	1998	8.581
"HKG"	1998	11.576
"HRV"	1998	4.677
"IDN"	1998	0.896
"IND"	1998	0.82
"KHM"	1998	0.254
"LTU"	1998	4.841
"LVA"	1998	4.155
"MLT"	1998	5.839
"MYS"	1998	3.632
"PHL"	1998	0.94
"ROU"	1998	3.923
"RUS"	1998	5.792
"SAU"	1998	10.399
"SGP"	1998	11.514
"THA"	1998	1.835
"TUN"	1998	1.914
"TWN"	1998	8.896
"VNM"	1998	0.508
"ZAF"	1998	5.583
"ROW"	1998	1.401
"AUS"	1999	17.004
"AUT"	1999	11.366
"BEL"	1999	11.959
"CAN"	1999	15.574
"CHL"	1999	3.457
"CZE"	1999	9.823
"DNK"	1999	12.048
"EST"	1999	9.148
"FIN"	1999	13.299
"FRA"	1999	8.221
"DEU"	1999	11.912
"GRC"	1999	8.662
"HUN"	1999	7.261
"ISL"	1999	11.091
"IRL"	1999	11.995
"ISR"	1999	11.375
"ITA"	1999	9.057
"JPN"	1999	10.784
"KOR"	1999	7.613
"LUX"	1999	15.557
"MEX"	1999	3.455
"NLD"	1999	11.005
"NZL"	1999	8.121
"NOR"	1999	11.361
"POL"	1999	8.119
"PRT"	1999	6.861
"SVK"	1999	6.986
"SVN"	1999	9.335
"ESP"	1999	7.489
"SWE"	1999	8.72
"CHE"	1999	11.551
"TUR"	1999	3.149
"GBR"	1999	11.17
"USA"	1999	21.047
"ARG"	1999	4.288
"BGR"	1999	3.851
"BRA"	1999	1.688
"BRN"	1999	14.244
"CHN"	1999	2.175
"COL"	1999	1.634
"CRI"	1999	2.11
"CYP"	1999	8.871
"HKG"	1999	10.476
"HRV"	1999	4.95
"IDN"	1999	1.075
"IND"	1999	0.859
"KHM"	1999	0.27
"LTU"	1999	4.671
"LVA"	1999	4.156
"MLT"	1999	6.015
"MYS"	1999	3.769
"PHL"	1999	0.886
"ROU"	1999	3.234
"RUS"	1999	4.642
"SAU"	1999	10.086
"SGP"	1999	11.852
"THA"	1999	1.974
"TUN"	1999	2.011
"TWN"	1999	9.05
"VNM"	1999	0.496
"ZAF"	1999	5.207
"ROW"	1999	1.357
"AUS"	2000	17.158
"AUT"	2000	11.805
"BEL"	2000	12.174
"CAN"	2000	15.984
"CHL"	2000	3.504
"CZE"	2000	12.724
"DNK"	2000	11.451
"EST"	2000	10.457
"FIN"	2000	13.88
"FRA"	2000	8.169
"DEU"	2000	11.886
"GRC"	2000	9.729
"HUN"	2000	7.668
"ISL"	2000	11.463
"IRL"	2000	12.456
"ISR"	2000	11.919
"ITA"	2000	9.202
"JPN"	2000	11.102
"KOR"	2000	8.956
"LUX"	2000	15.685
"MEX"	2000	3.717
"NLD"	2000	10.712
"NZL"	2000	7.639
"NOR"	2000	9.974
"POL"	2000	8.035
"PRT"	2000	6.869
"SVK"	2000	6.325
"SVN"	2000	8.497
"ESP"	2000	7.758
"SWE"	2000	8.598
"CHE"	2000	11.851
"TUR"	2000	3.655
"GBR"	2000	11.286
"USA"	2000	21.858
"ARG"	2000	4.307
"BGR"	2000	3.397
"BRA"	2000	1.779
"BRN"	2000	13.055
"CHN"	2000	2.326
"COL"	2000	1.652
"CRI"	2000	1.989
"CYP"	2000	8.733
"HKG"	2000	10.838
"HRV"	2000	4.393
"IDN"	2000	1.093
"IND"	2000	0.864
"KHM"	2000	0.287
"LTU"	2000	4.115
"LVA"	2000	4.092
"MLT"	2000	6.055
"MYS"	2000	4.083
"PHL"	2000	0.836
"ROU"	2000	3.357
"RUS"	2000	4.561
"SAU"	2000	10.118
"SGP"	2000	13.333
"THA"	2000	1.999
"TUN"	2000	2.072
"TWN"	2000	9.936
"VNM"	2000	0.537
"ZAF"	2000	5.149
"ROW"	2000	1.308
"AUS"	2001	16.956
"AUT"	2001	11.625
"BEL"	2001	11.804
"CAN"	2001	15.551
"CHL"	2001	3.129
"CZE"	2001	11.675
"DNK"	2001	11.889
"EST"	2001	11.661
"FIN"	2001	14.519
"FRA"	2001	8.338
"DEU"	2001	11.888
"GRC"	2001	10.134
"HUN"	2001	6.847
"ISL"	2001	10.078
"IRL"	2001	12.719
"ISR"	2001	11.884
"ITA"	2001	9.296
"JPN"	2001	10.845
"KOR"	2001	9.213
"LUX"	2001	15.897
"MEX"	2001	3.705
"NLD"	2001	11.12
"NZL"	2001	8.086
"NOR"	2001	11.524
"POL"	2001	7.628
"PRT"	2001	7.021
"SVK"	2001	7.588
"SVN"	2001	9.712
"ESP"	2001	7.793
"SWE"	2001	8.008
"CHE"	2001	12.611
"TUR"	2001	2.946
"GBR"	2001	11.42
"USA"	2001	21.585
"ARG"	2001	3.837
"BGR"	2001	3.782
"BRA"	2001	1.729
"BRN"	2001	12.648
"CHN"	2001	2.394
"COL"	2001	1.638
"CRI"	2001	2.044
"CYP"	2001	8.585
"HKG"	2001	10.448
"HRV"	2001	5.242
"IDN"	2001	1.153
"IND"	2001	0.878
"KHM"	2001	0.311
"LTU"	2001	4.376
"LVA"	2001	4.342
"MLT"	2001	6.24
"MYS"	2001	4.218
"PHL"	2001	0.863
"ROU"	2001	3.867
"RUS"	2001	5.208
"SAU"	2001	10.123
"SGP"	2001	12.024
"THA"	2001	2.083
"TUN"	2001	2.166
"TWN"	2001	9.442
"VNM"	2001	0.598
"ZAF"	2001	4.918
"ROW"	2001	1.311
"AUS"	2002	17.953
"AUT"	2002	12.042
"BEL"	2002	11.35
"CAN"	2002	15.676
"CHL"	2002	3.335
"CZE"	2002	12
"DNK"	2002	12.287
"EST"	2002	11.824
"FIN"	2002	15.489
"FRA"	2002	8.022
"DEU"	2002	11.156
"GRC"	2002	10.74
"HUN"	2002	7.093
"ISL"	2002	9.908
"IRL"	2002	12.167
"ISR"	2002	11.726
"ITA"	2002	9.233
"JPN"	2002	10.792
"KOR"	2002	9.366
"LUX"	2002	15.288
"MEX"	2002	3.646
"NLD"	2002	10.919
"NZL"	2002	8.333
"NOR"	2002	10.986
"POL"	2002	7.267
"PRT"	2002	7.165
"SVK"	2002	7.775
"SVN"	2002	8.581
"ESP"	2002	8.14
"SWE"	2002	8.552
"CHE"	2002	11.513
"TUR"	2002	3.102
"GBR"	2002	11.264
"USA"	2002	21.351
"ARG"	2002	2.723
"BGR"	2002	3.525
"BRA"	2002	1.608
"BRN"	2002	13.769
"CHN"	2002	2.507
"COL"	2002	1.595
"CRI"	2002	2.065
"CYP"	2002	9.142
"HKG"	2002	9.65
"HRV"	2002	5.25
"IDN"	2002	1.22
"IND"	2002	0.886
"KHM"	2002	0.331
"LTU"	2002	4.36
"LVA"	2002	4.51
"MLT"	2002	5.489
"MYS"	2002	4.354
"PHL"	2002	0.873
"ROU"	2002	3.581
"RUS"	2002	5.409
"SAU"	2002	9.889
"SGP"	2002	11.583
"THA"	2002	2.277
"TUN"	2002	2.107
"TWN"	2002	9.564
"VNM"	2002	0.692
"ZAF"	2002	4.897
"ROW"	2002	1.376
"AUS"	2003	18.867
"AUT"	2003	12.091
"BEL"	2003	12.013
"CAN"	2003	16.678
"CHL"	2003	3.261
"CZE"	2003	11.583
"DNK"	2003	12.51
"EST"	2003	13.008
"FIN"	2003	15.92
"FRA"	2003	8.602
"DEU"	2003	11.625
"GRC"	2003	11.212
"HUN"	2003	7.268
"ISL"	2003	10.62
"IRL"	2003	12.185
"ISR"	2003	11.375
"ITA"	2003	9.708
"JPN"	2003	10.915
"KOR"	2003	9.258
"LUX"	2003	16.516
"MEX"	2003	3.603
"NLD"	2003	11.208
"NZL"	2003	8.996
"NOR"	2003	11.91
"POL"	2003	7.14
"PRT"	2003	6.847
"SVK"	2003	7.334
"SVN"	2003	9.655
"ESP"	2003	8.528
"SWE"	2003	9.229
"CHE"	2003	11.187
"TUR"	2003	3.439
"GBR"	2003	11.52
"USA"	2003	21.514
"ARG"	2003	3.176
"BGR"	2003	4.124
"BRA"	2003	1.53
"BRN"	2003	13.986
"CHN"	2003	2.836
"COL"	2003	1.473
"CRI"	2003	1.895
"CYP"	2003	9.947
"HKG"	2003	9.364
"HRV"	2003	6.207
"IDN"	2003	1.305
"IND"	2003	0.893
"KHM"	2003	0.338
"LTU"	2003	5.023
"LVA"	2003	5.259
"MLT"	2003	6.881
"MYS"	2003	4.378
"PHL"	2003	0.903
"ROU"	2003	3.952
"RUS"	2003	5.617
"SAU"	2003	9.761
"SGP"	2003	9.942
"THA"	2003	2.425
"TUN"	2003	2.091
"TWN"	2003	9.542
"VNM"	2003	0.739
"ZAF"	2003	5.536
"ROW"	2003	1.407
"AUS"	2004	19.856
"AUT"	2004	12.009
"BEL"	2004	12.195
"CAN"	2004	16.821
"CHL"	2004	3.489
"CZE"	2004	11.393
"DNK"	2004	12.835
"EST"	2004	11.333
"FIN"	2004	15.279
"FRA"	2004	8.674
"DEU"	2004	11.224
"GRC"	2004	11.59
"HUN"	2004	7.38
"ISL"	2004	11.327
"IRL"	2004	12.721
"ISR"	2004	11.25
"ITA"	2004	9.916
"JPN"	2004	11.077
"KOR"	2004	9.558
"LUX"	2004	17.067
"MEX"	2004	3.66
"NLD"	2004	10.946
"NZL"	2004	9.29
"NOR"	2004	11.729
"POL"	2004	7.02
"PRT"	2004	7.021
"SVK"	2004	7.228
"SVN"	2004	9.715
"ESP"	2004	8.966
"SWE"	2004	8.889
"CHE"	2004	11.173
"TUR"	2004	3.65
"GBR"	2004	11.785
"USA"	2004	21.851
"ARG"	2004	3.504
"BGR"	2004	4.152
"BRA"	2004	1.58
"BRN"	2004	13.865
"CHN"	2004	3.139
"COL"	2004	1.483
"CRI"	2004	1.873
"CYP"	2004	8.987
"HKG"	2004	9.832
"HRV"	2004	5.546
"IDN"	2004	1.353
"IND"	2004	0.949
"KHM"	2004	0.35
"LTU"	2004	5.053
"LVA"	2004	5.204
"MLT"	2004	6.885
"MYS"	2004	4.686
"PHL"	2004	0.881
"ROU"	2004	3.772
"RUS"	2004	6.075
"SAU"	2004	9.956
"SGP"	2004	10.993
"THA"	2004	2.637
"TUN"	2004	2.138
"TWN"	2004	10.328
"VNM"	2004	0.897
"ZAF"	2004	5.919
"ROW"	2004	1.439
"AUS"	2005	20.197
"AUT"	2005	11.935
"BEL"	2005	12.17
"CAN"	2005	17.144
"CHL"	2005	3.641
"CZE"	2005	10.79
"DNK"	2005	11.696
"EST"	2005	12.193
"FIN"	2005	13.745
"FRA"	2005	8.742
"DEU"	2005	11.036
"GRC"	2005	11.119
"HUN"	2005	6.803
"ISL"	2005	13.009
"IRL"	2005	13.425
"ISR"	2005	10.672
"ITA"	2005	9.789
"JPN"	2005	11.1
"KOR"	2005	10.007
"LUX"	2005	19.357
"MEX"	2005	3.821
"NLD"	2005	10.27
"NZL"	2005	10.217
"NOR"	2005	11.52
"POL"	2005	7.154
"PRT"	2005	7.481
"SVK"	2005	7.374
"SVN"	2005	9.281
"ESP"	2005	9.363
"SWE"	2005	8.759
"CHE"	2005	11.958
"TUR"	2005	3.996
"GBR"	2005	11.898
"USA"	2005	21.936
"ARG"	2005	3.609
"BGR"	2005	4.9
"BRA"	2005	1.631
"BRN"	2005	13.615
"CHN"	2005	3.376
"COL"	2005	1.529
"CRI"	2005	1.918
"CYP"	2005	9.088
"HKG"	2005	9.464
"HRV"	2005	6.309
"IDN"	2005	1.381
"IND"	2005	0.99
"KHM"	2005	0.37
"LTU"	2005	5.374
"LVA"	2005	5.422
"MLT"	2005	7.038
"MYS"	2005	4.389
"PHL"	2005	0.868
"ROU"	2005	4.115
"RUS"	2005	6.012
"SAU"	2005	10.145
"SGP"	2005	10.192
"THA"	2005	2.865
"TUN"	2005	2.168
"TWN"	2005	9.931
"VNM"	2005	0.969
"ZAF"	2005	5.838
"ROW"	2005	1.505
"AUS"	2006	19.897
"AUT"	2006	11.27
"BEL"	2006	12.194
"CAN"	2006	17.274
"CHL"	2006	3.604
"CZE"	2006	10.801
"DNK"	2006	12.522
"EST"	2006	11.95
"FIN"	2006	14.094
"FRA"	2006	8.64
"DEU"	2006	11.149
"GRC"	2006	10.986
"HUN"	2006	6.53
"ISL"	2006	14.786
"IRL"	2006	13.792
"ISR"	2006	10.508
"ITA"	2006	9.636
"JPN"	2006	10.844
"KOR"	2006	10.512
"LUX"	2006	17.848
"MEX"	2006	3.888
"NLD"	2006	10.265
"NZL"	2006	9.648
"NOR"	2006	11.765
"POL"	2006	7.496
"PRT"	2006	6.766
"SVK"	2006	7.248
"SVN"	2006	9.599
"ESP"	2006	9.41
"SWE"	2006	8.68
"CHE"	2006	11.577
"TUR"	2006	4.264
"GBR"	2006	11.852
"USA"	2006	21.595
"ARG"	2006	3.904
"BGR"	2006	4.768
"BRA"	2006	1.716
"BRN"	2006	15.621
"CHN"	2006	3.572
"COL"	2006	1.554
"CRI"	2006	1.987
"CYP"	2006	9.483
"HKG"	2006	9.866
"HRV"	2006	6.261
"IDN"	2006	1.446
"IND"	2006	1.034
"KHM"	2006	0.426
"LTU"	2006	5.856
"LVA"	2006	5.926
"MLT"	2006	6.838
"MYS"	2006	4.622
"PHL"	2006	0.794
"ROU"	2006	4.429
"RUS"	2006	6.832
"SAU"	2006	10.584
"SGP"	2006	10.469
"THA"	2006	2.802
"TUN"	2006	2.162
"TWN"	2006	9.776
"VNM"	2006	0.989
"ZAF"	2006	5.893
"ROW"	2006	1.58
"AUS"	2007	20.42
"AUT"	2007	11.334
"BEL"	2007	11.541
"CAN"	2007	17.836
"CHL"	2007	3.984
"CZE"	2007	10.635
"DNK"	2007	12.273
"EST"	2007	13.246
"FIN"	2007	13.876
"FRA"	2007	8.603
"DEU"	2007	10.726
"GRC"	2007	11.681
"HUN"	2007	6.159
"ISL"	2007	13.898
"IRL"	2007	14.666
"ISR"	2007	11.01
"ITA"	2007	9.441
"JPN"	2007	10.781
"KOR"	2007	10.663
"LUX"	2007	17.287
"MEX"	2007	3.98
"NLD"	2007	10.218
"NZL"	2007	9.771
"NOR"	2007	11.896
"POL"	2007	7.497
"PRT"	2007	6.601
"SVK"	2007	7.474
"SVN"	2007	10.044
"ESP"	2007	9.59
"SWE"	2007	8.858
"CHE"	2007	11.677
"TUR"	2007	4.694
"GBR"	2007	11.915
"USA"	2007	21.157
"ARG"	2007	4.207
"BGR"	2007	5.718
"BRA"	2007	1.859
"BRN"	2007	15.117
"CHN"	2007	3.807
"COL"	2007	1.636
"CRI"	2007	2.108
"CYP"	2007	9.883
"HKG"	2007	9.97
"HRV"	2007	6.535
"IDN"	2007	1.517
"IND"	2007	1.136
"KHM"	2007	0.452
"LTU"	2007	6.164
"LVA"	2007	6.558
"MLT"	2007	6.003
"MYS"	2007	5.06
"PHL"	2007	0.828
"ROU"	2007	4.524
"RUS"	2007	7.479
"SAU"	2007	10.982
"SGP"	2007	10.928
"THA"	2007	2.793
"TUN"	2007	2.188
"TWN"	2007	9.451
"VNM"	2007	1.143
"ZAF"	2007	6.208
"ROW"	2007	1.624
"AUS"	2008	19.844
"AUT"	2008	11.448
"BEL"	2008	12.964
"CAN"	2008	17.345
"CHL"	2008	4.225
"CZE"	2008	10.741
"DNK"	2008	11.743
"EST"	2008	12.27
"FIN"	2008	13.207
"FRA"	2008	8.69
"DEU"	2008	10.826
"GRC"	2008	11.502
"HUN"	2008	6.176
"ISL"	2008	10.243
"IRL"	2008	13.637
"ISR"	2008	10.787
"ITA"	2008	9.092
"JPN"	2008	10.358
"KOR"	2008	10.487
"LUX"	2008	18.25
"MEX"	2008	3.896
"NLD"	2008	10.446
"NZL"	2008	9.361
"NOR"	2008	11.944
"POL"	2008	7.856
"PRT"	2008	6.527
"SVK"	2008	7.833
"SVN"	2008	10.419
"ESP"	2008	8.72
"SWE"	2008	8.39
"CHE"	2008	11.701
"TUR"	2008	4.551
"GBR"	2008	10.966
"USA"	2008	20.037
"ARG"	2008	4.414
"BGR"	2008	5.754
"BRA"	2008	2.057
"BRN"	2008	15.052
"CHN"	2008	3.943
"COL"	2008	1.659
"CRI"	2008	2.209
"CYP"	2008	10.382
"HKG"	2008	9.155
"HRV"	2008	6.515
"IDN"	2008	1.555
"IND"	2008	1.16
"KHM"	2008	0.426
"LTU"	2008	6.334
"LVA"	2008	6.122
"MLT"	2008	6.246
"MYS"	2008	5.2
"PHL"	2008	0.864
"ROU"	2008	4.638
"RUS"	2008	7.461
"SAU"	2008	12.182
"SGP"	2008	9.697
"THA"	2008	2.992
"TUN"	2008	2.333
"TWN"	2008	9.236
"VNM"	2008	1.251
"ZAF"	2008	6.375
"ROW"	2008	1.702
"AUS"	2009	19.356
"AUT"	2009	10.401
"BEL"	2009	11.309
"CAN"	2009	16.263
"CHL"	2009	3.77
"CZE"	2009	9.888
"DNK"	2009	10.554
"EST"	2009	9.561
"FIN"	2009	12.595
"FRA"	2009	7.995
"DEU"	2009	10.009
"GRC"	2009	10.543
"HUN"	2009	5.613
"ISL"	2009	7.161
"IRL"	2009	11.203
"ISR"	2009	10.229
"ITA"	2009	8.194
"JPN"	2009	9.711
"KOR"	2009	9.66
"LUX"	2009	14.149
"MEX"	2009	3.524
"NLD"	2009	10.002
"NZL"	2009	8.192
"NOR"	2009	10.593
"POL"	2009	7.277
"PRT"	2009	5.998
"SVK"	2009	7.382
"SVN"	2009	8.818
"ESP"	2009	7.449
"SWE"	2009	6.947
"CHE"	2009	11.075
"TUR"	2009	4.113
"GBR"	2009	9.461
"USA"	2009	18.306
"ARG"	2009	3.964
"BGR"	2009	5.261
"BRA"	2009	1.897
"BRN"	2009	15.676
"CHN"	2009	4.384
"COL"	2009	1.606
"CRI"	2009	1.837
"CYP"	2009	9.28
"HKG"	2009	9.88
"HRV"	2009	6.017
"IDN"	2009	1.574
"IND"	2009	1.301
"KHM"	2009	0.444
"LTU"	2009	5.39
"LVA"	2009	4.504
"MLT"	2009	5.748
"MYS"	2009	4.648
"PHL"	2009	0.847
"ROU"	2009	3.77
"RUS"	2009	6.921
"SAU"	2009	13.409
"SGP"	2009	8.831
"THA"	2009	2.777
"TUN"	2009	2.176
"TWN"	2009	8.229
"VNM"	2009	1.343
"ZAF"	2009	6.237
"ROW"	2009	1.695
"AUS"	2010	19.274
"AUT"	2010	11.169
"BEL"	2010	12.288
"CAN"	2010	16.883
"CHL"	2010	4.296
"CZE"	2010	10.523
"DNK"	2010	9.659
"EST"	2010	10.766
"FIN"	2010	12.732
"FRA"	2010	8.129
"DEU"	2010	10.129
"GRC"	2010	9.714
"HUN"	2010	5.45
"ISL"	2010	7.164
"IRL"	2010	10.646
"ISR"	2010	10.721
"ITA"	2010	8.442
"JPN"	2010	10.184
"KOR"	2010	10.679
"LUX"	2010	16.405
"MEX"	2010	3.709
"NLD"	2010	10.248
"NZL"	2010	8.595
"NOR"	2010	11.888
"POL"	2010	7.801
"PRT"	2010	5.48
"SVK"	2010	7.428
"SVN"	2010	9.015
"ESP"	2010	7.145
"SWE"	2010	8.466
"CHE"	2010	12.027
"TUR"	2010	4.543
"GBR"	2010	9.844
"USA"	2010	19.006
"ARG"	2010	4.239
"BGR"	2010	4.712
"BRA"	2010	2.278
"BRN"	2010	13.763
"CHN"	2010	4.625
"COL"	2010	1.685
"CRI"	2010	2.06
"CYP"	2010	9.122
"HKG"	2010	10.548
"HRV"	2010	5.286
"IDN"	2010	1.679
"IND"	2010	1.334
"KHM"	2010	0.433
"LTU"	2010	6.013
"LVA"	2010	4.69
"MLT"	2010	6.379
"MYS"	2010	5.278
"PHL"	2010	0.912
"ROU"	2010	3.665
"RUS"	2010	7.435
"SAU"	2010	13.812
"SGP"	2010	8.719
"THA"	2010	3.177
"TUN"	2010	2.319
"TWN"	2010	8.908
"VNM"	2010	1.43
"ZAF"	2010	6.295
"ROW"	2010	1.719
"AUS"	2011	19.607
"AUT"	2011	11.555
"BEL"	2011	12.301
"CAN"	2011	16.801
"CHL"	2011	4.668
"CZE"	2011	9.669
"DNK"	2011	8.975
"EST"	2011	10.54
"FIN"	2011	12.042
"FRA"	2011	7.855
"DEU"	2011	10.012
"GRC"	2011	9.059
"HUN"	2011	5.256
"ISL"	2011	6.958
"IRL"	2011	9.49
"ISR"	2011	10.861
"ITA"	2011	8.288
"JPN"	2011	10.778
"KOR"	2011	10.853
"LUX"	2011	16.164
"MEX"	2011	3.827
"NLD"	2011	9.463
"NZL"	2011	8.661
"NOR"	2011	11.92
"POL"	2011	7.57
"PRT"	2011	5.194
"SVK"	2011	7.05
"SVN"	2011	9.052
"ESP"	2011	6.895
"SWE"	2011	8.139
"CHE"	2011	12.158
"TUR"	2011	4.791
"GBR"	2011	9.135
"USA"	2011	18.368
"ARG"	2011	4.485
"BGR"	2011	5.141
"BRA"	2011	2.372
"BRN"	2011	14.093
"CHN"	2011	5.087
"COL"	2011	1.852
"CRI"	2011	2.257
"CYP"	2011	8.609
"HKG"	2011	10.894
"HRV"	2011	5.11
"IDN"	2011	1.749
"IND"	2011	1.387
"KHM"	2011	0.461
"LTU"	2011	6.133
"LVA"	2011	4.914
"MLT"	2011	6.105
"MYS"	2011	5.316
"PHL"	2011	0.937
"ROU"	2011	3.804
"RUS"	2011	7.824
"SAU"	2011	13.929
"SGP"	2011	9.271
"THA"	2011	3.38
"TUN"	2011	2.254
"TWN"	2011	8.839
"VNM"	2011	1.392
"ZAF"	2011	6.085
"ROW"	2011	1.715
