"country"	"year"	"prod.co2"
"AUS"	1995	15.818
"AUT"	1995	7.426
"BEL"	1995	11.338
"CAN"	1995	15.706
"CHL"	1995	2.676
"CZE"	1995	12.082
"DNK"	1995	11.11
"EST"	1995	11.18
"FIN"	1995	10.965
"FRA"	1995	6.144
"DEU"	1995	10.514
"GRC"	1995	7.076
"HUN"	1995	5.514
"ISL"	1995	7.357
"IRL"	1995	9.15
"ISR"	1995	8.637
"ITA"	1995	7.181
"JPN"	1995	9.166
"KOR"	1995	8.034
"LUX"	1995	19.787
"MEX"	1995	3.103
"NLD"	1995	11.092
"NZL"	1995	6.863
"NOR"	1995	7.533
"POL"	1995	8.593
"PRT"	1995	4.756
"SVK"	1995	7.606
"SVN"	1995	7.03
"ESP"	1995	5.885
"SWE"	1995	6.536
"CHE"	1995	5.968
"TUR"	1995	2.607
"GBR"	1995	8.941
"USA"	1995	19.14
"ARG"	1995	3.441
"BGR"	1995	6.371
"BRA"	1995	1.456
"BRN"	1995	15.104
"CHN"	1995	2.442
"COL"	1995	1.596
"CRI"	1995	1.256
"CYP"	1995	5.786
"HKG"	1995	5.884
"HRV"	1995	3.365
"IDN"	1995	1.103
"IND"	1995	0.808
"KHM"	1995	0.136
"LTU"	1995	3.896
"LVA"	1995	3.564
"MLT"	1995	5.918
"MYS"	1995	4.11
"PHL"	1995	0.817
"ROU"	1995	5.116
"RUS"	1995	10.486
"SAU"	1995	10.364
"SGP"	1995	11.241
"THA"	1995	2.369
"TUN"	1995	1.577
"TWN"	1995	7.489
"VNM"	1995	0.365
"ZAF"	1995	6.625
"ROW"	1995	1.513
"AUS"	1996	16.206
"AUT"	1996	7.888
"BEL"	1996	11.909
"CAN"	1996	16.063
"CHL"	1996	3.064
"CZE"	1996	12.28
"DNK"	1996	13.567
"EST"	1996	12
"FIN"	1996	12.135
"FRA"	1996	6.381
"DEU"	1996	10.825
"GRC"	1996	7.015
"HUN"	1996	5.607
"ISL"	1996	8.252
"IRL"	1996	9.44
"ISR"	1996	8.755
"ITA"	1996	7.145
"JPN"	1996	9.255
"KOR"	1996	8.54
"LUX"	1996	19.651
"MEX"	1996	3.176
"NLD"	1996	11.504
"NZL"	1996	7.159
"NOR"	1996	7.645
"POL"	1996	8.997
"PRT"	1996	4.551
"SVK"	1996	7.685
"SVN"	1996	7.431
"ESP"	1996	5.609
"SWE"	1996	7.146
"CHE"	1996	6.077
"TUR"	1996	2.84
"GBR"	1996	9.238
"USA"	1996	19.526
"ARG"	1996	3.605
"BGR"	1996	6.516
"BRA"	1996	1.546
"BRN"	1996	15.476
"CHN"	1996	2.477
"COL"	1996	1.59
"CRI"	1996	1.152
"CYP"	1996	6.029
"HKG"	1996	5.569
"HRV"	1996	3.345
"IDN"	1996	1.175
"IND"	1996	0.834
"KHM"	1996	0.138
"LTU"	1996	4.073
"LVA"	1996	3.598
"MLT"	1996	5.77
"MYS"	1996	4.383
"PHL"	1996	0.864
"ROU"	1996	5.326
"RUS"	1996	10.284
"SAU"	1996	10.863
"SGP"	1996	11.286
"THA"	1996	2.652
"TUN"	1996	1.637
"TWN"	1996	7.811
"VNM"	1996	0.402
"ZAF"	1996	6.747
"ROW"	1996	1.464
"AUS"	1997	16.424
"AUT"	1997	7.793
"BEL"	1997	11.609
"CAN"	1997	16.465
"CHL"	1997	3.48
"CZE"	1997	12.076
"DNK"	1997	11.695
"EST"	1997	11.848
"FIN"	1997	11.674
"FRA"	1997	6.23
"DEU"	1997	10.436
"GRC"	1997	7.055
"HUN"	1997	5.465
"ISL"	1997	7.73
"IRL"	1997	9.658
"ISR"	1997	8.909
"ITA"	1997	7.219
"JPN"	1997	9.204
"KOR"	1997	9.024
"LUX"	1997	18.346
"MEX"	1997	3.225
"NLD"	1997	11.091
"NZL"	1997	7.681
"NOR"	1997	7.976
"POL"	1997	8.726
"PRT"	1997	4.739
"SVK"	1997	7.706
"SVN"	1997	7.626
"ESP"	1997	6.059
"SWE"	1997	6.467
"CHE"	1997	5.89
"TUR"	1997	2.928
"GBR"	1997	8.853
"USA"	1997	19.935
"ARG"	1997	3.72
"BGR"	1997	6.237
"BRA"	1997	1.632
"BRN"	1997	16.33
"CHN"	1997	2.437
"COL"	1997	1.668
"CRI"	1997	1.095
"CYP"	1997	6.048
"HKG"	1997	5.058
"HRV"	1997	3.746
"IDN"	1997	1.254
"IND"	1997	0.862
"KHM"	1997	0.143
"LTU"	1997	4.005
"LVA"	1997	3.44
"MLT"	1997	6.066
"MYS"	1997	4.604
"PHL"	1997	0.938
"ROU"	1997	4.922
"RUS"	1997	9.628
"SAU"	1997	10.882
"SGP"	1997	11.238
"THA"	1997	2.691
"TUN"	1997	1.697
"TWN"	1997	8.289
"VNM"	1997	0.462
"ZAF"	1997	6.97
"ROW"	1997	1.459
"AUS"	1998	17.265
"AUT"	1998	7.84
"BEL"	1998	11.832
"CAN"	1998	16.451
"CHL"	1998	3.531
"CZE"	1998	11.42
"DNK"	1998	10.91
"EST"	1998	11.537
"FIN"	1998	11.025
"FRA"	1998	6.664
"DEU"	1998	10.368
"GRC"	1998	7.338
"HUN"	1998	5.519
"ISL"	1998	7.624
"IRL"	1998	10.254
"ISR"	1998	8.561
"ITA"	1998	7.408
"JPN"	1998	8.94
"KOR"	1998	7.718
"LUX"	1998	16.638
"MEX"	1998	3.358
"NLD"	1998	11.073
"NZL"	1998	7.441
"NOR"	1998	8.347
"POL"	1998	8.101
"PRT"	1998	5.175
"SVK"	1998	7.391
"SVN"	1998	7.54
"ESP"	1998	6.242
"SWE"	1998	6.556
"CHE"	1998	6.132
"TUR"	1998	2.901
"GBR"	1998	8.927
"USA"	1998	19.668
"ARG"	1998	3.812
"BGR"	1998	6.002
"BRA"	1998	1.654
"BRN"	1998	13.587
"CHN"	1998	2.481
"COL"	1998	1.666
"CRI"	1998	1.195
"CYP"	1998	6.311
"HKG"	1998	6.15
"HRV"	1998	4.026
"IDN"	1998	1.248
"IND"	1998	0.86
"KHM"	1998	0.161
"LTU"	1998	4.242
"LVA"	1998	3.323
"MLT"	1998	5.785
"MYS"	1998	4.477
"PHL"	1998	0.923
"ROU"	1998	4.303
"RUS"	1998	9.586
"SAU"	1998	11.481
"SGP"	1998	10.564
"THA"	1998	2.436
"TUN"	1998	1.75
"TWN"	1998	8.831
"VNM"	1998	0.504
"ZAF"	1998	7.037
"ROW"	1998	1.433
"AUS"	1999	17.375
"AUT"	1999	7.673
"BEL"	1999	11.467
"CAN"	1999	16.686
"CHL"	1999	3.709
"CZE"	1999	10.862
"DNK"	1999	10.285
"EST"	1999	10.786
"FIN"	1999	10.855
"FRA"	1999	6.524
"DEU"	1999	9.966
"GRC"	1999	7.322
"HUN"	1999	5.563
"ISL"	1999	7.367
"IRL"	1999	10.52
"ISR"	1999	8.605
"ITA"	1999	7.467
"JPN"	1999	9.241
"KOR"	1999	8.426
"LUX"	1999	17.187
"MEX"	1999	3.265
"NLD"	1999	10.703
"NZL"	1999	7.786
"NOR"	1999	8.582
"POL"	1999	7.871
"PRT"	1999	5.79
"SVK"	1999	7.206
"SVN"	1999	7.263
"ESP"	1999	6.697
"SWE"	1999	6.418
"CHE"	1999	6.114
"TUR"	1999	2.837
"GBR"	1999	8.84
"USA"	1999	19.533
"ARG"	1999	3.875
"BGR"	1999	5.316
"BRA"	1999	1.689
"BRN"	1999	12.94
"CHN"	1999	2.389
"COL"	1999	1.446
"CRI"	1999	1.176
"CYP"	1999	6.479
"HKG"	1999	6.526
"HRV"	1999	4.047
"IDN"	1999	1.325
"IND"	1999	0.909
"KHM"	1999	0.16
"LTU"	1999	3.617
"LVA"	1999	3.084
"MLT"	1999	5.885
"MYS"	1999	4.732
"PHL"	1999	0.873
"ROU"	1999	3.728
"RUS"	1999	9.883
"SAU"	1999	11.592
"SGP"	1999	10.502
"THA"	1999	2.495
"TUN"	1999	1.818
"TWN"	1999	9.173
"VNM"	1999	0.504
"ZAF"	1999	6.561
"ROW"	1999	1.409
"AUS"	2000	17.47
"AUT"	2000	7.705
"BEL"	2000	11.575
"CAN"	2000	17.208
"CHL"	2000	3.37
"CZE"	2000	11.94
"DNK"	2000	9.513
"EST"	2000	10.662
"FIN"	2000	10.668
"FRA"	2000	6.395
"DEU"	2000	9.932
"GRC"	2000	7.939
"HUN"	2000	5.292
"ISL"	2000	7.614
"IRL"	2000	10.819
"ISR"	2000	9.176
"ITA"	2000	7.472
"JPN"	2000	9.335
"KOR"	2000	9.523
"LUX"	2000	18.345
"MEX"	2000	3.365
"NLD"	2000	10.854
"NZL"	2000	8.003
"NOR"	2000	7.489
"POL"	2000	7.568
"PRT"	2000	5.721
"SVK"	2000	6.931
"SVN"	2000	7.063
"ESP"	2000	7.033
"SWE"	2000	5.966
"CHE"	2000	5.98
"TUR"	2000	3.171
"GBR"	2000	8.945
"USA"	2000	19.998
"ARG"	2000	3.846
"BGR"	2000	5.289
"BRA"	2000	1.74
"BRN"	2000	13.354
"CHN"	2000	2.585
"COL"	2000	1.482
"CRI"	2000	1.131
"CYP"	2000	6.609
"HKG"	2000	5.908
"HRV"	2000	3.938
"IDN"	2000	1.305
"IND"	2000	0.938
"KHM"	2000	0.159
"LTU"	2000	3.174
"LVA"	2000	2.882
"MLT"	2000	5.179
"MYS"	2000	5.023
"PHL"	2000	0.868
"ROU"	2000	3.889
"RUS"	2000	10.196
"SAU"	2000	11.725
"SGP"	2000	11.349
"THA"	2000	2.479
"TUN"	2000	1.882
"TWN"	2000	9.976
"VNM"	2000	0.543
"ZAF"	2000	6.624
"ROW"	2000	1.417
"AUS"	2001	17.591
"AUT"	2001	8.19
"BEL"	2001	11.647
"CAN"	2001	16.779
"CHL"	2001	3.203
"CZE"	2001	11.941
"DNK"	2001	9.775
"EST"	2001	11.083
"FIN"	2001	11.641
"FRA"	2001	6.468
"DEU"	2001	10.144
"GRC"	2001	8.109
"HUN"	2001	5.436
"ISL"	2001	7.359
"IRL"	2001	11.224
"ISR"	2001	9.206
"ITA"	2001	7.492
"JPN"	2001	9.2
"KOR"	2001	9.79
"LUX"	2001	19.57
"MEX"	2001	3.323
"NLD"	2001	11.16
"NZL"	2001	8.384
"NOR"	2001	7.722
"POL"	2001	7.548
"PRT"	2001	5.657
"SVK"	2001	7.137
"SVN"	2001	7.511
"ESP"	2001	6.988
"SWE"	2001	5.893
"CHE"	2001	6.047
"TUR"	2001	2.84
"GBR"	2001	9.131
"USA"	2001	19.721
"ARG"	2001	3.532
"BGR"	2001	5.666
"BRA"	2001	1.746
"BRN"	2001	12.584
"CHN"	2001	2.637
"COL"	2001	1.462
"CRI"	2001	1.203
"CYP"	2001	6.349
"HKG"	2001	6.009
"HRV"	2001	4.16
"IDN"	2001	1.371
"IND"	2001	0.939
"KHM"	2001	0.171
"LTU"	2001	3.469
"LVA"	2001	3.079
"MLT"	2001	6.037
"MYS"	2001	5.143
"PHL"	2001	0.846
"ROU"	2001	4.11
"RUS"	2001	10.247
"SAU"	2001	11.541
"SGP"	2001	11.143
"THA"	2001	2.579
"TUN"	2001	1.945
"TWN"	2001	10.21
"VNM"	2001	0.596
"ZAF"	2001	6.214
"ROW"	2001	1.436
"AUS"	2002	17.624
"AUT"	2002	8.34
"BEL"	2002	10.892
"CAN"	2002	16.816
"CHL"	2002	3.233
"CZE"	2002	11.588
"DNK"	2002	9.706
"EST"	2002	10.84
"FIN"	2002	12.114
"FRA"	2002	6.294
"DEU"	2002	9.987
"GRC"	2002	8.121
"HUN"	2002	5.387
"ISL"	2002	7.629
"IRL"	2002	10.816
"ISR"	2002	9.473
"ITA"	2002	7.561
"JPN"	2002	9.469
"KOR"	2002	9.62
"LUX"	2002	20.864
"MEX"	2002	3.342
"NLD"	2002	11.128
"NZL"	2002	8.284
"NOR"	2002	7.572
"POL"	2002	7.29
"PRT"	2002	6.01
"SVK"	2002	7.043
"SVN"	2002	7.589
"ESP"	2002	7.281
"SWE"	2002	6.075
"CHE"	2002	5.846
"TUR"	2002	2.95
"GBR"	2002	8.847
"USA"	2002	19.287
"ARG"	2002	3.302
"BGR"	2002	5.359
"BRA"	2002	1.721
"BRN"	2002	12.558
"CHN"	2002	2.783
"COL"	2002	1.387
"CRI"	2002	1.205
"CYP"	2002	6.399
"HKG"	2002	5.814
"HRV"	2002	4.402
"IDN"	2002	1.381
"IND"	2002	0.953
"KHM"	2002	0.173
"LTU"	2002	3.516
"LVA"	2002	3.116
"MLT"	2002	5.602
"MYS"	2002	5.293
"PHL"	2002	0.816
"ROU"	2002	4.099
"RUS"	2002	10.219
"SAU"	2002	11.765
"SGP"	2002	10.859
"THA"	2002	2.786
"TUN"	2002	1.919
"TWN"	2002	10.546
"VNM"	2002	0.688
"ZAF"	2002	6.36
"ROW"	2002	1.461
"AUS"	2003	17.77
"AUT"	2003	8.922
"BEL"	2003	11.58
"CAN"	2003	17.37
"CHL"	2003	3.314
"CZE"	2003	11.947
"DNK"	2003	10.646
"EST"	2003	12.343
"FIN"	2003	13.629
"FRA"	2003	6.372
"DEU"	2003	9.987
"GRC"	2003	8.47
"HUN"	2003	5.634
"ISL"	2003	7.522
"IRL"	2003	10.421
"ISR"	2003	9.591
"ITA"	2003	7.799
"JPN"	2003	9.502
"KOR"	2003	9.637
"LUX"	2003	21.831
"MEX"	2003	3.358
"NLD"	2003	11.367
"NZL"	2003	8.321
"NOR"	2003	8.168
"POL"	2003	7.577
"PRT"	2003	5.559
"SVK"	2003	7.128
"SVN"	2003	7.616
"ESP"	2003	7.353
"SWE"	2003	6.185
"CHE"	2003	5.954
"TUR"	2003	3.06
"GBR"	2003	9.012
"USA"	2003	19.371
"ARG"	2003	3.529
"BGR"	2003	5.953
"BRA"	2003	1.666
"BRN"	2003	14.819
"CHN"	2003	3.206
"COL"	2003	1.349
"CRI"	2003	1.263
"CYP"	2003	6.954
"HKG"	2003	6.174
"HRV"	2003	4.72
"IDN"	2003	1.49
"IND"	2003	0.962
"KHM"	2003	0.182
"LTU"	2003	3.571
"LVA"	2003	3.258
"MLT"	2003	6.259
"MYS"	2003	5.428
"PHL"	2003	0.826
"ROU"	2003	4.371
"RUS"	2003	10.477
"SAU"	2003	11.722
"SGP"	2003	9.98
"THA"	2003	2.906
"TUN"	2003	1.889
"TWN"	2003	11.015
"VNM"	2003	0.728
"ZAF"	2003	6.825
"ROW"	2003	1.491
"AUS"	2004	18.275
"AUT"	2004	8.998
"BEL"	2004	11.124
"CAN"	2004	17.017
"CHL"	2004	3.569
"CZE"	2004	12.05
"DNK"	2004	9.585
"EST"	2004	12.51
"FIN"	2004	12.872
"FRA"	2004	6.326
"DEU"	2004	9.782
"GRC"	2004	8.44
"HUN"	2004	5.555
"ISL"	2004	7.682
"IRL"	2004	10.361
"ISR"	2004	9.477
"ITA"	2004	7.866
"JPN"	2004	9.495
"KOR"	2004	10.042
"LUX"	2004	24.602
"MEX"	2004	3.369
"NLD"	2004	11.406
"NZL"	2004	8.156
"NOR"	2004	8.245
"POL"	2004	7.667
"PRT"	2004	5.668
"SVK"	2004	6.912
"SVN"	2004	7.721
"ESP"	2004	7.647
"SWE"	2004	5.985
"CHE"	2004	5.961
"TUR"	2004	3.096
"GBR"	2004	8.981
"USA"	2004	19.496
"ARG"	2004	3.902
"BGR"	2004	5.892
"BRA"	2004	1.743
"BRN"	2004	13.589
"CHN"	2004	3.691
"COL"	2004	1.334
"CRI"	2004	1.265
"CYP"	2004	6.724
"HKG"	2004	5.941
"HRV"	2004	4.611
"IDN"	2004	1.494
"IND"	2004	1.021
"KHM"	2004	0.179
"LTU"	2004	3.798
"LVA"	2004	3.319
"MLT"	2004	6.245
"MYS"	2004	5.845
"PHL"	2004	0.826
"ROU"	2004	4.268
"RUS"	2004	10.456
"SAU"	2004	11.909
"SGP"	2004	10.185
"THA"	2004	3.142
"TUN"	2004	1.942
"TWN"	2004	11.311
"VNM"	2004	0.872
"ZAF"	2004	7.061
"ROW"	2004	1.517
"AUS"	2005	18.175
"AUT"	2005	9.061
"BEL"	2005	10.776
"CAN"	2005	17.012
"CHL"	2005	3.559
"CZE"	2005	11.739
"DNK"	2005	8.942
"EST"	2005	12.699
"FIN"	2005	10.498
"FRA"	2005	6.328
"DEU"	2005	9.585
"GRC"	2005	8.591
"HUN"	2005	5.581
"ISL"	2005	7.426
"IRL"	2005	10.576
"ISR"	2005	9.064
"ITA"	2005	7.85
"JPN"	2005	9.53
"KOR"	2005	9.979
"LUX"	2005	24.899
"MEX"	2005	3.482
"NLD"	2005	11.05
"NZL"	2005	8.146
"NOR"	2005	7.912
"POL"	2005	7.661
"PRT"	2005	5.957
"SVK"	2005	7.06
"SVN"	2005	7.808
"ESP"	2005	7.81
"SWE"	2005	5.597
"CHE"	2005	6.032
"TUR"	2005	3.191
"GBR"	2005	8.891
"USA"	2005	19.354
"ARG"	2005	3.947
"BGR"	2005	6.017
"BRA"	2005	1.734
"BRN"	2005	13.075
"CHN"	2005	4.099
"COL"	2005	1.343
"CRI"	2005	1.313
"CYP"	2005	6.78
"HKG"	2005	5.996
"HRV"	2005	4.703
"IDN"	2005	1.495
"IND"	2005	1.057
"KHM"	2005	0.197
"LTU"	2005	4.092
"LVA"	2005	3.395
"MLT"	2005	6.538
"MYS"	2005	6.092
"PHL"	2005	0.822
"ROU"	2005	4.271
"RUS"	2005	10.505
"SAU"	2005	12.122
"SGP"	2005	9.537
"THA"	2005	3.212
"TUN"	2005	2.005
"TWN"	2005	11.562
"VNM"	2005	0.939
"ZAF"	2005	6.829
"ROW"	2005	1.562
"AUS"	2006	18.045
"AUT"	2006	8.752
"BEL"	2006	10.436
"CAN"	2006	16.576
"CHL"	2006	3.627
"CZE"	2006	11.731
"DNK"	2006	10.333
"EST"	2006	11.754
"FIN"	2006	12.625
"FRA"	2006	6.151
"DEU"	2006	9.747
"GRC"	2006	8.487
"HUN"	2006	5.52
"ISL"	2006	7.485
"IRL"	2006	10.655
"ISR"	2006	9.17
"ITA"	2006	7.683
"JPN"	2006	9.396
"KOR"	2006	10.095
"LUX"	2006	24.106
"MEX"	2006	3.52
"NLD"	2006	10.894
"NZL"	2006	8.082
"NOR"	2006	8.052
"POL"	2006	7.965
"PRT"	2006	5.436
"SVK"	2006	6.938
"SVN"	2006	7.93
"ESP"	2006	7.512
"SWE"	2006	5.293
"CHE"	2006	5.899
"TUR"	2006	3.486
"GBR"	2006	8.86
"USA"	2006	18.89
"ARG"	2006	4.155
"BGR"	2006	6.227
"BRA"	2006	1.744
"BRN"	2006	19.141
"CHN"	2006	4.459
"COL"	2006	1.325
"CRI"	2006	1.335
"CYP"	2006	6.752
"HKG"	2006	6.173
"HRV"	2006	4.705
"IDN"	2006	1.554
"IND"	2006	1.123
"KHM"	2006	0.217
"LTU"	2006	4.173
"LVA"	2006	3.642
"MLT"	2006	6.208
"MYS"	2006	6.253
"PHL"	2006	0.74
"ROU"	2006	4.382
"RUS"	2006	10.903
"SAU"	2006	12.472
"SGP"	2006	9.464
"THA"	2006	3.225
"TUN"	2006	2.011
"TWN"	2006	11.823
"VNM"	2006	0.956
"ZAF"	2006	6.762
"ROW"	2006	1.587
"AUS"	2007	18.214
"AUT"	2007	8.443
"BEL"	2007	9.935
"CAN"	2007	17.268
"CHL"	2007	3.925
"CZE"	2007	11.834
"DNK"	2007	9.44
"EST"	2007	14.588
"FIN"	2007	12.144
"FRA"	2007	6.023
"DEU"	2007	9.385
"GRC"	2007	8.818
"HUN"	2007	5.38
"ISL"	2007	7.724
"IRL"	2007	10.353
"ISR"	2007	9.28
"ITA"	2007	7.507
"JPN"	2007	9.67
"KOR"	2007	10.327
"LUX"	2007	22.377
"MEX"	2007	3.609
"NLD"	2007	11.01
"NZL"	2007	7.724
"NOR"	2007	8.093
"POL"	2007	7.946
"PRT"	2007	5.264
"SVK"	2007	6.828
"SVN"	2007	7.852
"ESP"	2007	7.673
"SWE"	2007	5.092
"CHE"	2007	5.655
"TUR"	2007	3.81
"GBR"	2007	8.631
"USA"	2007	18.971
"ARG"	2007	4.287
"BGR"	2007	6.707
"BRA"	2007	1.806
"BRN"	2007	17.778
"CHN"	2007	4.734
"COL"	2007	1.313
"CRI"	2007	1.475
"CYP"	2007	6.961
"HKG"	2007	6.416
"HRV"	2007	5.013
"IDN"	2007	1.592
"IND"	2007	1.212
"KHM"	2007	0.249
"LTU"	2007	4.515
"LVA"	2007	3.86
"MLT"	2007	6.513
"MYS"	2007	6.684
"PHL"	2007	0.766
"ROU"	2007	4.271
"RUS"	2007	10.908
"SAU"	2007	12.833
"SGP"	2007	9.592
"THA"	2007	3.283
"TUN"	2007	2.047
"TWN"	2007	12
"VNM"	2007	1.055
"ZAF"	2007	7.174
"ROW"	2007	1.611
"AUS"	2008	18.006
"AUT"	2008	8.497
"BEL"	2008	10.363
"CAN"	2008	16.626
"CHL"	2008	4.029
"CZE"	2008	11.28
"DNK"	2008	8.867
"EST"	2008	13.486
"FIN"	2008	10.602
"FRA"	2008	5.91
"DEU"	2008	9.489
"GRC"	2008	8.495
"HUN"	2008	5.284
"ISL"	2008	6.907
"IRL"	2008	10.129
"ISR"	2008	9.071
"ITA"	2008	7.258
"JPN"	2008	8.992
"KOR"	2008	10.497
"LUX"	2008	21.698
"MEX"	2008	3.51
"NLD"	2008	11.097
"NZL"	2008	7.886
"NOR"	2008	7.913
"POL"	2008	7.845
"PRT"	2008	5.078
"SVK"	2008	6.737
"SVN"	2008	8.237
"ESP"	2008	6.984
"SWE"	2008	4.844
"CHE"	2008	5.789
"TUR"	2008	3.743
"GBR"	2008	8.248
"USA"	2008	18.219
"ARG"	2008	4.522
"BGR"	2008	6.473
"BRA"	2008	1.891
"BRN"	2008	18.512
"CHN"	2008	4.835
"COL"	2008	1.315
"CRI"	2008	1.451
"CYP"	2008	7.034
"HKG"	2008	6.237
"HRV"	2008	4.759
"IDN"	2008	1.543
"IND"	2008	1.263
"KHM"	2008	0.253
"LTU"	2008	4.53
"LVA"	2008	3.709
"MLT"	2008	6.11
"MYS"	2008	7.006
"PHL"	2008	0.778
"ROU"	2008	4.214
"RUS"	2008	11.042
"SAU"	2008	13.711
"SGP"	2008	8.98
"THA"	2008	3.357
"TUN"	2008	2.065
"TWN"	2008	11.437
"VNM"	2008	1.165
"ZAF"	2008	7.65
"ROW"	2008	1.664
"AUS"	2009	17.952
"AUT"	2009	7.64
"BEL"	2009	9.284
"CAN"	2009	15.419
"CHL"	2009	3.843
"CZE"	2009	10.509
"DNK"	2009	8.496
"EST"	2009	11.114
"FIN"	2009	10.209
"FRA"	2009	5.565
"DEU"	2009	8.833
"GRC"	2009	8.112
"HUN"	2009	4.805
"ISL"	2009	6.637
"IRL"	2009	8.93
"ISR"	2009	8.769
"ITA"	2009	6.462
"JPN"	2009	8.532
"KOR"	2009	10.714
"LUX"	2009	20.102
"MEX"	2009	3.433
"NLD"	2009	10.645
"NZL"	2009	7.15
"NOR"	2009	7.713
"POL"	2009	7.55
"PRT"	2009	5.016
"SVK"	2009	6.176
"SVN"	2009	7.341
"ESP"	2009	6.146
"SWE"	2009	4.499
"CHE"	2009	5.524
"TUR"	2009	3.593
"GBR"	2009	7.432
"USA"	2009	16.741
"ARG"	2009	4.295
"BGR"	2009	5.652
"BRA"	2009	1.752
"BRN"	2009	18.731
"CHN"	2009	5.029
"COL"	2009	1.329
"CRI"	2009	1.352
"CYP"	2009	6.863
"HKG"	2009	6.667
"HRV"	2009	4.495
"IDN"	2009	1.596
"IND"	2009	1.408
"KHM"	2009	0.256
"LTU"	2009	4.011
"LVA"	2009	3.399
"MLT"	2009	5.812
"MYS"	2009	6.195
"PHL"	2009	0.768
"ROU"	2009	3.586
"RUS"	2009	10.292
"SAU"	2009	14.096
"SGP"	2009	8.994
"THA"	2009	3.262
"TUN"	2009	2.032
"TWN"	2009	10.859
"VNM"	2009	1.288
"ZAF"	2009	7.185
"ROW"	2009	1.626
"AUS"	2010	17.316
"AUT"	2010	8.261
"BEL"	2010	10.027
"CAN"	2010	15.587
"CHL"	2010	4.072
"CZE"	2010	10.826
"DNK"	2010	8.536
"EST"	2010	14.252
"FIN"	2010	11.629
"FRA"	2010	5.634
"DEU"	2010	9.314
"GRC"	2010	7.568
"HUN"	2010	4.884
"ISL"	2010	6.134
"IRL"	2010	8.72
"ISR"	2010	9.162
"ITA"	2010	6.585
"JPN"	2010	8.914
"KOR"	2010	11.662
"LUX"	2010	20.857
"MEX"	2010	3.544
"NLD"	2010	11.26
"NZL"	2010	7.043
"NOR"	2010	8.085
"POL"	2010	8.015
"PRT"	2010	4.516
"SVK"	2010	6.489
"SVN"	2010	7.486
"ESP"	2010	5.783
"SWE"	2010	5.053
"CHE"	2010	5.65
"TUR"	2010	3.683
"GBR"	2010	7.652
"USA"	2010	17.374
"ARG"	2010	4.366
"BGR"	2010	5.974
"BRA"	2010	1.995
"BRN"	2010	18.836
"CHN"	2010	5.335
"COL"	2010	1.331
"CRI"	2010	1.394
"CYP"	2010	6.568
"HKG"	2010	6.057
"HRV"	2010	4.356
"IDN"	2010	1.631
"IND"	2010	1.451
"KHM"	2010	0.261
"LTU"	2010	4.34
"LVA"	2010	3.875
"MLT"	2010	5.842
"MYS"	2010	6.597
"PHL"	2010	0.816
"ROU"	2010	3.451
"RUS"	2010	11.007
"SAU"	2010	15.191
"SGP"	2010	9.761
"THA"	2010	3.548
"TUN"	2010	2.165
"TWN"	2010	11.68
"VNM"	2010	1.451
"ZAF"	2010	7.318
"ROW"	2010	1.655
"AUS"	2011	17.107
"AUT"	2011	8.006
"BEL"	2011	10.044
"CAN"	2011	15.576
"CHL"	2011	4.394
"CZE"	2011	10.626
"DNK"	2011	7.551
"EST"	2011	13.412
"FIN"	2011	10.282
"FRA"	2011	5.185
"DEU"	2011	8.992
"GRC"	2011	7.443
"HUN"	2011	4.737
"ISL"	2011	5.772
"IRL"	2011	7.74
"ISR"	2011	8.906
"ITA"	2011	6.459
"JPN"	2011	9.303
"KOR"	2011	12.118
"LUX"	2011	20.297
"MEX"	2011	3.623
"NLD"	2011	10.496
"NZL"	2011	6.831
"NOR"	2011	7.708
"POL"	2011	7.867
"PRT"	2011	4.468
"SVK"	2011	6.231
"SVN"	2011	7.403
"ESP"	2011	5.794
"SWE"	2011	4.612
"CHE"	2011	5.087
"TUR"	2011	3.908
"GBR"	2011	7.005
"USA"	2011	16.786
"ARG"	2011	4.51
"BGR"	2011	6.688
"BRA"	2011	2.077
"BRN"	2011	20.24
"CHN"	2011	5.814
"COL"	2011	1.443
"CRI"	2011	1.408
"CYP"	2011	6.267
"HKG"	2011	6.507
"HRV"	2011	4.322
"IDN"	2011	1.642
"IND"	2011	1.498
"KHM"	2011	0.275
"LTU"	2011	4.357
"LVA"	2011	3.554
"MLT"	2011	5.811
"MYS"	2011	6.677
"PHL"	2011	0.808
"ROU"	2011	3.744
"RUS"	2011	11.531
"SAU"	2011	15.437
"SGP"	2011	9.812
"THA"	2011	3.616
"TUN"	2011	2.031
"TWN"	2011	11.383
"VNM"	2011	1.491
"ZAF"	2011	6.962
"ROW"	2011	1.667
